,calc_index,calc_date,plot_id,value,total_area,credits_all,eco_id_list,eco_id,area_certifier,proportion_certified,credits_certified,credits_imrv
0,1-March-2024,2024-03-31,1,gold,30.813824459650764,5.135637402082148,"[12103, 12245, 12250]","12103, 12245, 12250",30.0,0.97358898241546,4.999999992347935,0.13563740973421298
1,2-March-2024,2024-03-31,2,platinum,44.09564001333646,7.349273324677532,"[12103, 12245, 12250]","12103, 12245, 12250",45.0,1.0,7.349273324677532,0.0
2,3-March-2024,2024-03-31,3,platinum,64.8340503035489,10.805675034399306,"[12103, 12245, 12250]","12103, 12245, 12250",46.5,0.7172157189361139,7.749999988386715,3.05567504601259
3,4-March-2024,2024-03-31,4,platinum,50.52396683825766,8.420661127115185,"[12103, 12245, 12250]","12103, 12245, 12250",45.0,0.8906664067779648,7.4999999887825695,0.9206611383326159
4,5-March-2024,2024-03-31,5,platinum,67.03459683076471,11.17243278840569,"[12103, 12245, 12250]","12103, 12245, 12250",43.94,0.6554824236644662,7.323333322372512,3.849099466033178
5,6-March-2024,2024-03-31,6,platinum,14.778504870113936,2.4628373494523657,"[12103, 12245, 12250]","12103, 12245, 12250",6.0,0.405995061931711,0.999899802218644,1.4629375472337216
6,8-March-2024,2024-03-31,8,platinum,66.82533540251976,11.13755588382031,"[12103, 12245, 12250]","12103, 12245, 12250",64.4,0.9637063489781108,10.733333317336147,0.404222566484163
7,9-March-2024,2024-03-31,9,platinum,10.096988084830922,0.20207854801983047,"[12103, 12245, 12250]","12103, 12245, 12250",10.0,0.9903943548297703,0.20013745319103676,0.0019410948287937068
8,9-March-2024,2024-03-31,9,gold,10.096988084830922,1.4807525189375887,"[12103, 12245, 12250]","12103, 12245, 12250",10.0,0.9903943548297703,1.4665289356557505,0.014223583281838252
9,10-March-2024,2024-03-31,10,platinum,79.31154586891465,13.218590959465596,"[12103, 12245, 12250]","12103, 12245, 12250",45.0,0.5673827121510853,7.4999999893974065,5.718590970068189
10,11-March-2024,2024-03-31,11,platinum,44.11351895965784,7.352253149234599,"[12103, 12245, 12250]","12103, 12245, 12250",44.3,1.0,7.352253149234599,0.0
11,12-March-2024,2024-03-31,12,platinum,46.54923815404714,7.758206347862971,"[12103, 12245, 12250]","12103, 12245, 12250",44.9,0.9645700290821247,7.48333332258331,0.27487302527966023
12,18-March-2024,2024-03-31,18,platinum,142.03420120698848,23.672366833105514,"[12103, 12245, 12250]","12103, 12245, 12250",25.0,0.17601394444122045,4.166666660554424,19.50570017255109
13,20-March-2024,2024-03-31,20,platinum,41.820421668072065,6.97007026777622,"[12103, 12245, 12250]","12103, 12245, 12250",44.7,1.0,6.97007026777622,0.0
14,23-March-2024,2024-03-31,23,platinum,44.55856570839401,7.426427606758755,"[12103, 12245, 12250]","12103, 12245, 12250",0.0,0.0,0.0,7.426427606758755
15,28-March-2024,2024-03-31,28,platinum,53.3086464109782,8.88477438885024,"[12103, 12245, 12250]","12103, 12245, 12250",44.9,0.8422648673884439,7.483333322401189,1.4014410664490502
16,29-March-2024,2024-03-31,29,platinum,43.99720409210636,7.332867338027852,"[12103, 12245, 12250]","12103, 12245, 12250",44.9,1.0,7.332867338027852,0.0
17,30-March-2024,2024-03-31,30,platinum,30.651713620012845,5.108618929043427,"[12103, 12245, 12250]","12103, 12245, 12250",12.15,0.39638893115806517,2.0249999969773835,3.0836189320660434
18,34-March-2024,2024-03-31,34,platinum,129.7074171247841,21.6179028232183,"[12103, 12245, 12250]","12103, 12245, 12250",129.9723,1.0,21.6179028232183,0.0
19,35-March-2024,2024-03-31,35,platinum,41.86048669617389,0.3711796950609146,"[12103, 12245, 12250]","12103, 12245, 12250",40.7,0.9722772765496785,0.3608895830243662,0.010290112036548383
20,35-March-2024,2024-03-31,35,gold,41.86048669617389,6.605568225557046,"[12103, 12245, 12250]","12103, 12245, 12250",40.7,0.9722772765496785,6.422443884407698,0.18312434114934859
21,37-March-2024,2024-03-31,37,platinum,47.54876330236148,7.924793872089538,"[12103, 12245, 12250]","12103, 12245, 12250",44.7,0.9400875416202467,7.449999989059849,0.4747938830296888
22,40-March-2024,2024-03-31,40,platinum,76.72353129731597,12.787255196982281,"[12103, 12245, 12250]","12103, 12245, 12250",79.9,1.0,12.787255196982281,0.0
23,43-March-2024,2024-03-31,43,platinum,30.209663719925548,5.034943945629236,"[12103, 12245, 12250]","12103, 12245, 12250",29.3,0.9698883202289487,4.883333325873255,0.15161061975598128
24,44-March-2024,2024-03-31,44,platinum,130.37843749966902,21.729739552149926,"[12103, 12245, 12250]","12103, 12245, 12250",78.0,0.5982584351817992,12.999999981377265,8.729739570772661
25,45-March-2024,2024-03-31,45,platinum,43.57730080941428,0.7291132779698548,"[12091, 12103]","12091, 12103",43.1,0.989047031354655,0.7211273230973463,0.007985954872508538
26,49-March-2024,2024-03-31,49,platinum,37.57369250202345,6.262282074203223,"[12103, 12245, 12250]","12103, 12245, 12250",38.5,1.0,6.262282074203223,0.0
27,50-March-2024,2024-03-31,50,platinum,171.92286830471733,28.653811341166566,"[12103, 12245, 12250]","12103, 12245, 12250",174.0,1.0,28.653811341166566,0.0
28,59-March-2024,2024-03-31,59,platinum,35.67461588870747,5.945769305749176,"[12103, 12245, 12250]","12103, 12245, 12250",38.6,1.0,5.945769305749176,0.0
29,61-March-2024,2024-03-31,61,platinum,78.9563925078839,13.159398732171146,"[12103, 12245, 12250]","12103, 12245, 12250",42.8,0.5420713718110457,7.133333322956549,6.026065409214597
